package,date,downloads
ggplot2,2014-07-21,2149
ggplot2,2014-07-22,2205
ggplot2,2014-07-23,2280
ggplot2,2014-07-24,2222
ggplot2,2014-07-25,1972
ggplot2,2014-07-26,982
ggplot2,2014-07-27,1094
ggplot2,2014-07-28,1903
ggplot2,2014-07-29,1909
ggplot2,2014-07-30,1910
ggplot2,2014-07-31,1995
ggplot2,2014-08-01,1726
ggplot2,2014-08-02,813
ggplot2,2014-08-03,833
ggplot2,2014-08-04,1985
ggplot2,2014-08-05,1943
ggplot2,2014-08-06,2036
ggplot2,2014-08-07,2059
ggplot2,2014-08-08,1638
ggplot2,2014-08-09,1078
ggplot2,2014-08-10,1236
ggplot2,2014-08-11,2161
ggplot2,2014-08-12,2308
ggplot2,2014-08-13,2020
ggplot2,2014-08-14,2314
ggplot2,2014-08-15,2053
ggplot2,2014-08-16,1314
ggplot2,2014-08-17,1372
ggplot2,2014-08-18,2239
ggplot2,2014-08-19,2234
ggplot2,2014-08-20,2290
ggplot2,2014-08-21,2244
ggplot2,2014-08-22,1991
ggplot2,2014-08-23,1292
ggplot2,2014-08-24,1449
ggplot2,2014-08-25,2095
ggplot2,2014-08-26,2520
ggplot2,2014-08-27,2782
ggplot2,2014-08-28,2799
ggplot2,2014-08-29,1991
ggplot2,2014-08-30,1098
ggplot2,2014-08-31,977
ggplot2,2014-09-01,1930
ggplot2,2014-09-02,2861
ggplot2,2014-09-03,2777
ggplot2,2014-09-04,2619
ggplot2,2014-09-05,2296
ggplot2,2014-09-06,1221
ggplot2,2014-09-07,1490
ggplot2,2014-09-08,2380
ggplot2,2014-09-09,2885
ggplot2,2014-09-10,3074
ggplot2,2014-09-11,3110
ggplot2,2014-09-12,3069
ggplot2,2014-09-13,1741
ggplot2,2014-09-14,1837
ggplot2,2014-09-15,3050
ggplot2,2014-09-16,3154
ggplot2,2014-09-17,3181
ggplot2,2014-09-18,3052
ggplot2,2014-09-19,2717
ggplot2,2014-09-20,1279
ggplot2,2014-09-21,1080
ggplot2,2014-09-22,470
ggplot2,2014-09-23,434
ggplot2,2014-09-24,2944
ggplot2,2014-09-25,3007
ggplot2,2014-09-26,2854
ggplot2,2014-09-27,1438
ggplot2,2014-09-28,1581
ggplot2,2014-09-29,3340
ggplot2,2014-09-30,3265
ggplot2,2014-10-01,3057
ggplot2,2014-10-02,2978
ggplot2,2014-10-03,2395
ggplot2,2014-10-04,1239
ggplot2,2014-10-05,1273
ggplot2,2014-10-06,2988
ggplot2,2014-10-07,3289
ggplot2,2014-10-08,3321
ggplot2,2014-10-09,3322
ggplot2,2014-10-10,2902
ggplot2,2014-10-11,1321
ggplot2,2014-10-12,1432
ggplot2,2014-10-13,2930
ggplot2,2014-10-14,3293
ggplot2,2014-10-15,3126
ggplot2,2014-10-16,3373
ggplot2,2014-10-17,3000
ggplot2,2014-10-18,1770
ggplot2,2014-10-19,1987
ggplot2,2014-10-20,3017
ggplot2,2014-10-21,3404
ggplot2,2014-10-22,3027
ggplot2,2014-10-23,2962
ggplot2,2014-10-24,2772
ggplot2,2014-10-25,1576
ggplot2,2014-10-26,1612
ggplot2,2014-10-27,2986
ggplot2,2014-10-28,3156
ggplot2,2014-10-29,3106
ggplot2,2014-10-30,3376
ggplot2,2014-10-31,2827
ggplot2,2014-11-01,1549
ggplot2,2014-11-02,1738
ggplot2,2014-11-03,3549
ggplot2,2014-11-04,3520
ggplot2,2014-11-05,3243
ggplot2,2014-11-06,3605
ggplot2,2014-11-07,3046
ggplot2,2014-11-08,1597
ggplot2,2014-11-09,1931
ggplot2,2014-11-10,3438
ggplot2,2014-11-11,3500
ggplot2,2014-11-12,3411
ggplot2,2014-11-13,3430
ggplot2,2014-11-14,3176
ggplot2,2014-11-15,1791
ggplot2,2014-11-16,2126
ggplot2,2014-11-17,3167
ggplot2,2014-11-18,3500
ggplot2,2014-11-19,3563
ggplot2,2014-11-20,2173
ggplot2,2014-11-21,2640
ggplot2,2014-11-22,1519
ggplot2,2014-11-23,1699
ggplot2,2014-11-24,3001
ggplot2,2014-11-25,3172
ggplot2,2014-11-26,2876
ggplot2,2014-11-27,2235
ggplot2,2014-11-28,2102
ggplot2,2014-11-29,1352
ggplot2,2014-11-30,1414
ggplot2,2014-12-01,3044
ggplot2,2014-12-02,3568
ggplot2,2014-12-03,3325
ggplot2,2014-12-04,3144
ggplot2,2014-12-05,2933
ggplot2,2014-12-06,1720
ggplot2,2014-12-07,1748
ggplot2,2014-12-08,3053
ggplot2,2014-12-09,3374
ggplot2,2014-12-10,3098
ggplot2,2014-12-11,3185
ggplot2,2014-12-12,2671
ggplot2,2014-12-13,1494
ggplot2,2014-12-14,1674
ggplot2,2014-12-15,2725
ggplot2,2014-12-16,2606
ggplot2,2014-12-17,2523
ggplot2,2014-12-18,2335
ggplot2,2014-12-19,2257
ggplot2,2014-12-20,1155
ggplot2,2014-12-21,1244
ggplot2,2014-12-22,1782
ggplot2,2014-12-23,1560
ggplot2,2014-12-24,1112
ggplot2,2014-12-25,900
ggplot2,2014-12-26,1002
ggplot2,2014-12-27,916
ggplot2,2014-12-28,870
ggplot2,2014-12-29,1462
ggplot2,2014-12-30,1488
ggplot2,2014-12-31,1111
ggplot2,2015-01-01,817
ggplot2,2015-01-02,1218
ggplot2,2015-01-03,1063
ggplot2,2015-01-04,1106
ggplot2,2015-01-05,2171
ggplot2,2015-01-06,2455
ggplot2,2015-01-07,2739
