date,approve,disapprove,net
2025-01-20,53.76441920370045,39.788405560612304,13.976013643088145
2025-01-21,50.788202848444776,43.85942688363249,6.928775964812289
2025-01-22,51.168743969740056,44.16647925672522,7.0022647130148385
2025-01-23,50.514084841544744,44.05808010236001,6.456004739184735
2025-01-24,49.6564959360197,43.57126760894928,6.085228327070425
2025-01-25,49.74961632927845,43.96922534409879,5.780390985179665
2025-01-26,49.69717232790916,43.98666914138303,5.710503186526125
2025-01-27,49.2675198691365,45.74881175405079,3.5187081150857082
2025-01-28,49.289173734337254,47.111004092406475,2.1781696419307792
2025-01-29,48.333546797435474,47.39859571632849,0.9349510811069877
2025-01-30,48.40441725101158,47.3380691608766,1.06634809013498
2025-01-31,48.348690268120066,46.885048169148085,1.463642098971981
2025-02-01,48.232245128074275,48.44093902737626,-0.20869389930198423
2025-02-02,48.09749745294278,48.27068191757133,-0.17318446462854808
2025-02-03,48.22186573705511,47.760697047166744,0.46116868988836757
2025-02-04,48.40588439251704,47.83661582029325,0.5692685722237911
2025-02-05,48.940141290021295,48.08302246936586,0.8571188206554368
2025-02-06,48.82041089724664,45.84264367964825,2.977767217598391
2025-02-07,49.34181962296557,45.52052738444794,3.8212922385176356
2025-02-08,48.795726144121865,45.35226656609167,3.4434595780301933
2025-02-09,48.436440800827846,45.823082965837955,2.613357834989891
2025-02-10,49.59889401728103,46.45271716985208,3.146176847428954
2025-02-11,49.73606837573294,46.42138822625269,3.314680149480253
2025-02-12,50.80681447040957,46.52739780821022,4.279416662199353
2025-02-13,48.71465309344424,48.16897464568055,0.5456784477636916
2025-02-14,48.254994278854994,48.33639324294431,-0.0813989640893169
2025-02-15,47.701006218430926,48.02706950340405,-0.32606328497312376
2025-02-16,47.77342209734501,47.90485643363728,-0.13143433629226564
2025-02-17,47.25743072711401,48.49939735901202,-1.2419666318980092
2025-02-18,48.0043650034738,48.50221351189723,-0.49784850842343076
2025-02-19,48.952249311591956,46.83512243041832,2.1171268811736326
2025-02-20,48.67157559199967,46.78568788202103,1.8858877099786397
2025-02-21,49.05775519349747,46.7734760843794,2.284279109118067
2025-02-22,47.89073669289096,47.237358900742656,0.653377792148305
2025-02-23,47.90624647749876,47.03757942623991,0.8686670512588535
2025-02-24,47.95653296999576,47.802262763843075,0.15427020615268816
2025-02-25,48.1835593695087,48.17615121025981,0.00740815924888949
2025-02-26,48.28959816536088,48.40153756109126,-0.11193939573038136
2025-02-27,49.200820806082874,47.767713336959716,1.4331074691231578
2025-02-28,48.73014374923438,47.824811057395024,0.9053326918393552
2025-03-01,48.70690918698763,48.25265104345991,0.4542581435277171
2025-03-02,48.795983551021926,47.58651219113753,1.2094713598843967
2025-03-03,47.79082810451789,48.265009006098595,-0.47418090158070214
2025-03-04,47.232887019842124,48.5037244070749,-1.270837387232774
2025-03-05,47.31853374779934,48.00920558906938,-0.6906718412700386
2025-03-06,46.74227859140567,48.894340029502686,-2.1520614380970144
2025-03-07,47.1149116652653,50.18047860166146,-3.0655669363961593
2025-03-08,46.98166037918257,50.03698498108231,-3.0553246018997413
2025-03-09,47.01358441794735,49.835563357710456,-2.821978939763106
2025-03-10,47.042700122767066,49.6712970668436,-2.628596944076534
2025-03-11,47.51454031476142,49.994961814094395,-2.4804214993329765
2025-03-12,48.15377318820954,49.66414837789983,-1.5103751896902864
2025-03-13,47.83724611343459,49.0689813646912,-1.2317352512566089
2025-03-14,47.2857190965204,50.10748746685531,-2.821768370334908
2025-03-15,47.614677536796414,50.00298264050446,-2.388305103708049
2025-03-16,47.3729132995842,50.0026041181389,-2.6296908185546997
2025-03-17,47.55630607428627,50.436158470918365,-2.8798523966320957
2025-03-18,47.96915664647214,49.94830410438806,-1.9791474579159143
2025-03-19,48.308891735499095,49.92576312502765,-1.616871389528555
2025-03-20,46.64205464506938,51.22754030303742,-4.585485657968043
2025-03-21,46.699777235891055,51.30706524097376,-4.607288005082708
2025-03-22,46.73611191825819,51.03157771539143,-4.2954657971332395
2025-03-23,46.73611191825819,51.03157771539143,-4.2954657971332395
2025-03-24,46.65007805776818,51.13854544356322,-4.48846738579504
2025-03-25,47.536306001295266,49.711062705409304,-2.1747567041140385
2025-03-26,47.37450789541024,48.39398208904527,-1.019474193635027
2025-03-27,47.37912044330082,48.756378682528556,-1.3772582392277357
2025-03-28,47.10075243590863,48.59874338075247,-1.4979909448438349
2025-03-29,48.2556969833154,49.40398949705942,-1.1482925137440176
2025-03-30,47.727544970516405,49.499942244719705,-1.7723972742032998
2025-03-31,46.86609762257316,50.20083430611004,-3.3347366835368817
2025-04-01,47.01339040320022,48.84966670817047,-1.836276304970248
2025-04-02,47.49090383600189,48.36641665892067,-0.875512822918779
2025-04-03,46.557832495474095,49.11576403115697,-2.557931535682876
2025-04-04,46.01737232153489,49.98006339196482,-3.9626910704299263
2025-04-05,45.71547362859647,50.142039723821796,-4.426566095225326
2025-04-06,45.71547362859647,50.142039723821796,-4.426566095225326
2025-04-07,45.40526050209184,50.257056332411466,-4.851795830319624
2025-04-08,46.14270133645903,51.00877573319714,-4.866074396738114
2025-04-09,46.87096304721483,50.82974808138108,-3.9587850341662474
2025-04-10,46.86598598021808,50.78461045160664,-3.9186244713885614
2025-04-11,47,53,-6
